,Наименование,Цена,Производитель
31,Назарел спрей назальный дозированный 50мкг/доза 120доз,769 руб,Тева Чешские Предприятия (Чехия)
32,Риалтрис Моно 50мкг/доза спрей назальный 120доз,668 руб,Гленмарк Фарм (Индия)
33,Кестин таблетки п/о 20мг №10,742 руб,Индустриас Фармасеутикас Альмиралль С.А. (Испания)
34,Момат Рино Адванс 140мкг+50мкг/доза спрей назальный 75доз,652 руб,Гленмарк Фарм (Индия)
35,Никсар таблетки 20мг №10,736 руб,Берлин-Хеми/Менарини (Испания)
36,Дезал таблетки п/о 5мг №30,725 руб,Актавис (Мальта)
37,Супрастинекс таблетки п/о 5мг №30,709 руб,Эгис (Венгрия)
38,Фексадин таблетки п/о 180мг №10,695 руб,Сан Фармасьютикалз Индастриз (Индия)
39,"Фенистил гель 0,1% 50г",790 руб,Консьюмер Хелскер (Швейцария)
40,Аллервэй Экспресс таблетки диспергируемые 5мг №10,531 руб,Athene Lab (Индия)
41,Фликсоназе спрей назальный 50мкг 60доз,769 руб,Глаксо Вэллком С.А. (Испания)
42,Фексадин таблетки п/о 120мг №10,506 руб,Сан Фармасьютикалз Индастриз (Индия)
43,Псило-бальзам гель 20г,448 руб,Нижфарм (Россия)
44,Гистан крем при аллергии 50мл,410 руб,ВИС ООО (Россия)
45,Супрастинекс таблетки п/о 5мг №14,590 руб,Эгис (Венгрия)
46,Риалтрис спрей назальный дозированный 25мкг+600мкг/доза 120доз,709 руб,Гленмарк Фарм (Индия)
47,Мометазон спрей назальный 50мкг/доза флакон 60доз 10г,502 руб,Лек (Польша)
48,"Фенистил гель 0,1% 30г",582 руб,Консьюмер Хелскер (Швейцария)
49,Момат Рино 50мкг/доза спрей назальный 60доз,458 руб,Гленмарк Фарм (Индия)
50,Тизин Алерджи спрей назальный 50мкг/доза 10мл,528 руб,Янссен Фармацевтика Н.В. (Бельгия)
51,"Авамис спрей назальный дозированный 27,5мкг/доза 120доз",1020 руб,Глаксо Оперэйшенс Великобритания Лимитед (Великобритания)
52,Супрастинекс таблетки п/о 5мг №7,351 руб,Эгис (Венгрия)
53,Тавегил таблетки №20,332 руб,СмитКляйн Бичем С.А. (Испания)
54,Супрастинекс капли 5мг/мл 20мл,432 руб,Эгис (Венгрия)
55,Гистан крем при аллергии 30мл,292 руб,ВИС ООО (Россия)
56,Кетотифен Реневал таблетки 1мг №30,184 руб,Обновление ПФК (Россия)
57,Эриус таблетки п/о 5мг №10,846 руб,Байер Биттерфельд ГмбХ (Германия)
58,Супрастин таблетки 25мг №40,285.80 руб,Эгис (Венгрия)
59,Диазолин таблетки 50мг №10,88 руб,ОЗОН (Россия)
60,Назонекс назальный спрей 50мкг/1 доза 60доз,639 руб,Органон Хайст бв /АКРИХИН ХФК АО (Бельгия)
61,Цетиризин-Вертекс капли 10мг/мл 20мл,185.30 руб,Вертекс (Россия)
62,Лоратадин-ЭКОлаб сироп 1мг/мл 100мл флакон,111.10 руб,Эколаб (Россия)
63,Супрастин ампулы 20мг/1мл №5,154.50 руб,Эгис (Венгрия)
64,Зодак таблетки 10мг №10,120 руб,Зентива (Чехия)
65,Супрастин таблетки 25мг №20,150.90 руб,Эгис (Венгрия)
66,"Адреналина гидрохлорид ампулы 0,1% 1мл №5",110.20 руб,Московский эндокринный з-д (Россия)
67,Лоратадин таблетки 10мг №30 Озон,97.30 руб,ОЗОН (Россия)
68,Дезринит спрей назальный дозированный 50мкг/доза флакон 140доз,804 руб,Тева Чешские Предприятия (Чехия)
69,Димедрол ампулы 1% 1мл №10,50.20 руб,Борисовский з-д медпрепаратов (Республика Беларусь)
70,Ксизал таблетки п/о 5мг №10,593 руб,ЮСБ Фаршим С.А. (Швейцария)
71,Ксизал капли 5мг/мл 10мл,564 руб,Эйсика (Италия)
72,"Фенистил капли 0,1% 20мл",656 руб,Консьюмер Хелскер (Швейцария)
73,Аллервэй таблетки 5мг №30,639 руб,Д-р Реддис Лабс (Индия)
74,Дезал таблетки п/о 5мг №10,461 руб,Актавис (Мальта)
75,Кларитин таблетки 10мг №30,451.30 руб,Байер Биттерфельд ГмбХ (Германия)
76,Аллервэй таблетки 5мг №10,379 руб,Д-р Реддис Лабс (Индия)
77,Блогир-3 таблетки для рассасывания 5мг №10,388 руб,Дженефарм С.А. (Греция)
78,Зиртек таблетки 10мг №30,329.90 руб,ЮСБ Фаршим С.А. (Швейцария)
79,Назонекс спрей назальный 50мкг/доза 120доз,951 руб,Органон (Бельгия)
80,Зодак таблетки 10мг №30,317 руб,Опелла Хелскеа (Чешская Республика)
81,Зиртек таблетки 10мг №20,227.40 руб,ЮСБ Фаршим С.А. (Швейцария)
82,Зодак капли 10мг/мл 20мл,198.50 руб,Наттерманн (Германия)
83,Момат Рино 50мкг/доза спрей назальный 120доз,595 руб,Гленмарк Фарм (Индия)
84,Зиртек капли 20мл,197.80 руб,Эйсика (Италия)
85,Кларитин таблетки 10мг №10,159.20 руб,Байер Биттерфельд ГмбХ (Германия)
86,Цетрин таблетки п/о 10мг №20,166.90 руб,Д-р Реддис Лабс (Индия)
87,Лорагексал таблетки 10мг №10,52.30 руб,Salutas Pharma (Германия)
88,Цетрин таблетки п/о 10мг №30,218 руб,Д-р Реддис Лабс (Индия)
89,Сталораль Аллерген пыльцы березы капли 300ИР/мл 10мл №5,,Сталлержен (Франция)
90,Ксизал таблетки п/о 5мг №14,,ЮСБ Фаршим С.А. (Швейцария)
91,Сталораль Аллерген пыльцы березы капли 10ИР/мл №3,,Сталлержен (Франция)
92,Сталораль Аллерген клещей капли 10ИР/мл №3,,Сталлержен (Франция)
