project_name,investment,expected_revenue,risk_score,alignment_score,duration_months
Data Platform 94,1598219.03,1950345.25,2,4,21
AI Gateway 95,1973118.41,3709081.67,5,1,15
AI Suite 96,2106182.75,3103783.09,5,3,21
NextGen Suite 97,2990231.25,6012920.37,9,4,14
Data Hub 98,768560.32,1834419.39,9,1,29
Cloud Framework 99,727515.46,1356988.67,7,1,32
AI Hub 100,759701.17,907669.23,1,5,10
Data Platform 101,2925455.3,5901783.47,8,4,9
Digital Hub 102,1461251.14,2584999.09,6,1,14
Secure System 103,2484135.37,4177213.67,5,5,26
Digital Solution 104,532672.99,1085719.19,9,1,13
Smart Suite 105,1858321.19,4719447.92,8,5,18
Secure Gateway 106,962324.08,2015833.48,10,3,24
Digital System 107,2848011.58,3580330.46,2,3,27
Smart Solution 108,795609.02,1602661.23,8,1,19
Secure Gateway 109,944651.94,1236783.39,6,3,28
Secure System 110,2093416.27,5929819.92,8,4,9
AI Solution 111,2734393.19,7160250.7,7,1,11
Data Hub 112,1373545.0,2515147.06,7,4,36
Data Gateway 113,1369500.7,2897426.15,10,3,25
Data Platform 114,364847.97,1063971.27,7,3,24
Digital Solution 115,1464452.39,3270592.09,9,2,24
Enterprise Gateway 116,2910260.18,5337483.73,8,3,16
Smart Solution 117,1056430.62,2457344.35,9,4,32
Digital Gateway 118,355373.4,481629.56,1,4,33
Digital Gateway 119,1298417.96,1574567.55,3,5,30
Secure Gateway 120,2303972.55,2874961.75,5,2,35
Data Gateway 121,2654455.19,4954184.79,5,5,31
AI Solution 122,1001175.4,831059.5,4,1,13
Smart Gateway 123,2846476.15,6333299.33,8,4,35
Data Hub 124,1304921.99,2429111.08,8,2,20
Cloud Suite 125,652770.08,1382978.73,8,1,14
Enterprise Engine 126,2809320.34,5385531.39,5,3,29
Data Gateway 127,2609255.72,4650748.53,8,3,16
Enterprise Gateway 128,2805271.54,7611048.71,8,5,18
AI Suite 129,226577.17,552474.74,10,4,27
Cloud Gateway 130,2897990.87,3123285.88,5,3,33
Smart Gateway 131,389163.92,1090815.46,7,2,19
Cloud System 132,1461522.74,4285547.12,9,5,28
Enterprise System 133,2570119.35,6875457.19,10,3,26
Secure Platform 134,1890632.44,2489007.27,6,3,13
Smart Suite 135,2937179.41,7263096.39,7,4,11
Data Platform 136,233373.81,595456.92,9,3,17
Enterprise Solution 137,808172.55,1379157.65,6,2,11
Smart Suite 138,1897160.07,2522891.92,5,2,13
Secure Hub 139,1432754.45,3248125.37,10,3,27
Cloud System 140,1381016.37,2154723.03,7,4,28
Data Gateway 141,2551381.38,3159317.9,4,4,9
AI Suite 142,1758575.81,3630731.43,9,1,32
Enterprise Hub 143,123484.1,333795.83,7,5,29
Secure Hub 144,2349648.84,3069253.38,3,2,26
AI Hub 145,2065516.93,4928411.03,8,1,34
Digital Hub 146,2386970.4,2084784.65,3,2,8
Data Engine 147,2267694.51,2690411.26,2,5,34
NextGen Hub 148,2508370.6,3424764.13,4,3,29
NextGen System 149,1458161.03,1408085.73,2,4,36
NextGen System 150,2392977.71,1987657.64,5,1,20
NextGen Hub 151,1795224.27,4684311.1,9,1,27
AI Gateway 152,172571.48,473763.37,9,5,13
Smart Gateway 153,2737224.15,4009536.26,4,1,10
Digital Platform 154,982657.29,1851104.42,5,2,34
Cloud Suite 155,1415566.89,3220513.32,10,5,29
Cloud Suite 156,1999273.5,5266335.88,10,3,7
NextGen Framework 157,1385810.95,4006686.24,9,1,27
NextGen Engine 158,275595.26,387745.76,1,4,8
AI Platform 159,246677.68,378334.53,6,5,12
Smart Framework 160,1800510.94,4661012.49,8,3,30
Cloud Platform 161,904097.05,2680522.9,8,5,14
Cloud System 162,2017067.16,1728054.38,1,3,31
AI Engine 163,145765.14,201711.05,2,4,22
Smart System 164,1481113.3,3720019.69,7,4,22
AI Platform 165,2209004.69,6183564.59,9,4,26
Digital Platform 166,2995901.59,7981251.99,10,1,21
Secure System 167,2707873.62,4085222.71,6,1,10
Data Engine 168,1204622.76,2546888.22,9,4,22
Enterprise System 169,2399978.67,2524083.87,6,5,29
AI Suite 170,1409509.26,1836147.78,3,4,18
Enterprise System 171,1006390.21,1497057.63,3,3,36
Cloud Gateway 172,294686.59,774995.73,7,4,9
NextGen Solution 173,1713475.13,3581545.45,9,1,19
NextGen Suite 174,2617467.23,6246149.72,9,5,15
NextGen System 175,1775963.7,2251967.04,6,4,13
Smart Engine 176,2551582.91,4104563.82,7,5,13
Enterprise Platform 177,1866085.26,4193520.34,9,1,11
Data Hub 178,2772458.81,4359002.6,6,2,24
Enterprise System 179,511436.5,1121569.21,7,1,29
AI Suite 180,1317514.23,2042109.06,7,3,29
NextGen System 181,2661692.34,3040386.71,5,1,27
Smart Hub 182,1385027.63,2400020.88,8,4,14
AI System 183,1101001.28,1149398.54,6,5,21
Data Platform 184,739503.46,2193204.91,7,1,12
Data Framework 185,2325313.63,5769461.14,9,3,9
Digital Gateway 186,2266340.96,2689078.28,4,5,28
AI Engine 187,309018.94,833078.47,7,4,6
Secure System 188,2600119.04,5373588.41,10,4,15
Smart Suite 189,160484.02,243051.44,8,3,8
Enterprise System 190,805617.78,1688185.61,7,4,33
Data Engine 191,742558.97,1866837.29,7,5,26
Smart Framework 192,2727175.92,4277917.92,6,2,9
Cloud Hub 193,672088.23,1428374.17,7,2,36
Secure Gateway 194,2287892.89,5655052.88,10,5,26
NextGen Engine 195,537776.46,511011.21,4,3,31
Data Platform 196,1120632.45,1079414.96,4,4,7
Digital Engine 197,2511920.23,2433568.92,1,5,25
Enterprise Gateway 198,1782955.28,5169338.74,7,4,35
AI Engine 199,1854516.92,3529160.65,5,4,9
NextGen System 200,1563192.1,1843987.68,2,4,20
